Suite,Program,cpu-cycles,instructions,cache-references,cache-misses,cache-misses %,branch-instructions,branch-misses,branch-misses %,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
Shootout-C++,Shootout-methcall,11445152619,14841594873,5549469,424646,7.65%,5677073503,4791902,0.08%,11837,5677537347,5077693,7073306494,10864902,3488246999,4677382,1859207,13798232,9061935,932567,1322307,159200,28908,6900276364,757100,3485317980,90380,202533,174728
Shootout-C++,Shootout-sieve,10976144201,21409237113,5370335,335983,6.26%,6398895230,134342561,2.10%,11795,6374744260,134051138,1510531292,10421651,3380496257,3581669,1656295,10508779,4716455,674333,1057018,605175,216437,1516633459,1021632,3344936555,508491,146101,146791
Shootout-C++,Shootout-heapsort,7454373572,4374378423,187977417,14849783,7.90%,927971834,89388155,9.63%,27393,908370898,86421585,630984603,263479339,284266127,111233031,89660700,10174001,182488867,14632033,1112948,708638,2673165,697197281,59354624,255857477,412701,184369,173255
Shootout-C++,Shootout-fib2,6803435737,14382752208,9914289,403907,4.07%,3037814923,21716357,0.71%,11789,3021654928,21861846,2434200954,20711627,3036411443,4111598,1744608,11877897,4985890,663894,1604146,341175,243761,2212613311,1200923,3020760366,109188,548560,423650
Shootout-C++,Shootout-matrix,4643926338,11575114329,5686069,422416,7.43%,417659921,4404162,1.05%,11812,415425897,4780000,7073206261,10867039,449230385,3884630,1865031,11626852,5709648,928033,689052,83308,189310,6766677600,971242,437921218,57140,223823,169940
Shootout-C++,Shootout-random,5624415256,3464501959,5688112,336793,5.92%,281914349,4312990,1.53%,11789,279442038,4692019,81811959,10420667,79052497,3754891,1661625,10546323,4868502,724767,683837,282373,220552,164481524,915230,49914849,53605,213326,175099
Shootout-C++,Shootout-ary3,2234477825,3211005104,208623562,328705,0.16%,275146873,4267858,1.55%,16168,275873963,5021260,998770114,210160896,469863296,91929088,56974113,10066001,151831201,743318,3174698,889507,280264,914146288,4052147,502105515,236801,199187,172143
Shootout-C++,Shootout-strcat,1120657872,898937714,8049670,1573291,19.54%,176878869,4295563,2.43%,26461,170032174,4625220,192730021,15176011,109781970,5364089,4359286,10658543,6105539,853481,1271279,647527,252900,180560735,1030185,119678951,197349,228291,230896
Shootout-C++,Shootout-ackermann,609949978,513809850,8239245,473655,5.75%,88416661,4755298,5.38%,11793,85181936,5300270,169834526,12023538,89789606,4322123,1281706,7747808,3620115,484708,522443,166686,192759,160465626,823541,86746140,140155,525980,365720
Shootout-C++,Shootout-hello,567967545,482363645,8045089,429708,5.34%,86162629,4672894,5.42%,11779,81607973,5078994,163643348,11458027,85701874,4145235,1335145,7979256,3375287,474691,444026,127418,186786,155584352,922450,82782350,117168,476735,353021
Shootout-C++,Shootout-objinst,595624800,514056064,7885428,448612,5.69%,84086232,4664432,5.55%,11803,81948226,5347036,171256828,11930293,81642200,3604503,1102995,6916650,4559358,472632,702786,200993,160052,158966362,844419,79559874,118620,374897,347965
Shootout-C++,Shootout-nestedloop,1108800771,991522635,12678041,300628,2.37%,182628439,7590094,4.16%,11819,177037334,7537085,275231560,25530464,161783042,8424060,3613526,21922283,6713240,420929,944912,319944,119174,185630322,1305267,118854829,214267,852513,656686
sim,sim,9839641913,20269308546,6848361,372692,5.44%,3356684866,99716880,2.97%,11980,3355677229,99721630,7580272334,96883067,2622318378,69846212,71534424,9929180,8250820,912565,1277460,218129,43927,7537936802,541180,2648664240,55145,191595,159209
SmallPT,smallpt,20503673327,29909234413,5785254,428255,7.40%,3246150257,117075460,3.61%,16485,3242361382,117831451,7091067776,12066351,2044053015,5330793,2209033,10473057,7919353,1113315,1806675,910548,113014,7008376003,1086486,2040649672,120400,17392242,303800
Stanford,FloatMM,969953906,1173437362,6720933,654074,9.73%,109326879,5523858,5.05%,11805,111970718,6153096,310576036,12553119,112073377,4021967,1331631,8080606,5864669,612353,890080,273500,50080,312425930,430622,83958215,56697,223686,197242
Stanford,Puzzle,825372124,1184074480,6986409,374964,5.37%,289905098,6788402,2.34%,11814,280499814,7304696,259061546,10777420,86845903,4135163,1710954,10736919,4904414,508463,819597,166198,231410,203431570,1065927,72331231,74841,316112,246505
Stanford,Treesort,850141821,741958279,7221749,744996,10.32%,140258200,8984016,6.41%,15691,136268743,9653976,188029976,15853396,110835629,5082733,1463767,9557083,4933233,695257,800578,190280,206237,178634497,1761072,102312767,136507,533665,235105
Stanford,Quicksort,890460769,831804772,7481001,386527,5.17%,140009454,9822112,7.02%,11813,121668659,7192258,197980360,16549145,119415888,5705276,2501535,12879617,5301248,569584,727441,237360,137066,161204181,776223,93038420,113721,460440,320055
Stanford,Bubblesort,865049764,834298316,10788348,544983,5.05%,121803589,6657704,5.47%,11793,113631398,6840210,190874698,16833843,123337671,5762661,2697127,12698210,4981468,403465,823023,226947,129803,185290515,1059833,154863343,135858,468262,455677
Stanford,Towers,687087337,568308964,8381219,582290,6.95%,97795433,5171661,5.29%,11856,91594212,5223917,144947056,12623180,93476592,4396302,2015541,9477999,3903588,552053,731682,284605,142793,222940576,663543,259534110,119020,445456,356705
Stanford,Queens,675228404,555710847,8309064,548080,6.60%,91896364,4883133,5.31%,11820,86527595,5213539,167703374,12566157,90374432,4396550,1452622,8545179,4134212,533134,762812,248002,153199,160922744,416023,184087753,124594,430600,346655
Stanford,Perm,708288853,589036685,10207984,763433,7.48%,108735910,5818388,5.35%,11814,96691421,6155327,197755530,14023790,104340864,5016673,1703764,9665336,4240181,397140,647963,159507,141861,292743779,613154,152082929,129256,556086,468660
Stanford,RealMM,579378412,496430862,7792099,473146,6.07%,80469560,4425159,5.50%,11805,86936378,5286113,162644625,11603768,84732713,3157478,1044813,5865978,4494682,465686,541526,160979,33322,150042525,781070,81899451,139993,462986,341997
Stanford,Oscar,628668267,523533910,8556299,559570,6.54%,96342646,5114441,5.31%,11853,86726076,5042067,162019939,12197474,89858669,4229593,1758698,8958805,3374562,400777,708318,337057,181529,161331020,1031621,81317185,124401,384733,353614
Stanford,IntMM,630124100,525539718,7994697,454099,5.68%,92033478,4848553,5.27%,11819,85528726,4785106,106875984,9933534,89108249,4053343,1899100,10452016,4277025,410513,636865,291069,162451,115757572,1035313,84246770,128751,428244,345986
tramp3d-v4,tramp3d-v4,1257246344,1803433409,13188036,400046,3.03%,185873824,5780897,3.11%,14948,178254659,5960082,429033830,35447821,152815526,12519121,17031501,13057629,7166214,516196,1668659,483448,205349,294152260,1285172,128915210,217339,306985,236390
Trimaran,netbench-url,10580959873,8090500851,7593384,382692,5.04%,1607364343,5379080,0.33%,12057,1600420077,5456215,2415919500,83957281,79637294,3708017,73097219,11200750,6974971,667672,1464513,644987,298410,2413130087,845439,101953831,97024,313219,222445
Trimaran,enc-3des,5704280129,10577200014,5311499,436990,8.23%,99254315,4480040,4.51%,11797,99732825,4422702,2549814078,10643844,163956072,3658664,1905169,14038685,4905447,700808,876071,525854,240657,2304023162,713894,142518991,58811,150798,150854
Trimaran,enc-md5,4730208336,7899506405,5515262,375954,6.82%,104792194,4571539,4.36%,11811,105945554,4800108,581608596,19271914,329688368,3995803,8983243,9745444,4554810,731576,1128481,446240,220706,577571626,525608,307613530,56976,173054,156659
Trimaran,netbench-crc,3196985694,2558956748,10860947,4179726,38.48%,230311097,4819036,2.09%,67863,224371259,4885537,653479576,19476740,142984697,8575236,4360212,10906545,5144024,889117,4287324,2306503,454249,625195555,1377145,104699721,507909,202506,228577
Trimaran,enc-rc4,2946706884,5641689550,5294320,317537,6.00%,422387873,5680562,1.34%,11798,415945786,5722282,1279815798,11248533,833924024,3807254,1776535,11072585,4750692,706256,881632,249677,171444,1114127023,1053001,840108674,76927,184649,152838
Trimaran,enc-pc1,1920028073,2359671236,5398455,479094,8.87%,101535396,4554549,4.49%,11776,106919811,4785543,440142320,7338514,350157541,4319918,1486868,9717910,5215241,717415,909896,190727,107179,434553033,415677,373273873,61182,187053,173666
TSVC,Reductions-flt,18712241207,8905776838,7449182,388478,5.22%,1058432037,4812186,0.45%,12251,1056268990,5276736,3088043714,210138645,264447001,15548178,172133097,10778291,7062514,1014663,1807639,378275,132792,3261493114,381128,344351878,54732,210959,166071
TSVC,LoopRestructuring-dbl,13285933265,5729848591,1414481663,399146,0.03%,640703203,8232853,1.28%,12593,639812632,8699336,1547403680,1709388532,1191797488,752016907,87990117,9578582,848434154,741491,526974071,840500,208932,1725921171,510165,1272214887,62438,194530,163173
TSVC,LoopRerolling-dbl,12142870625,14626025360,623631250,268028,0.04%,686925736,4309747,0.63%,12583,687471407,4394643,7530145637,1263326478,1652230073,372253407,711189077,11576714,510449990,710668,156581334,916263,317472,7197695322,1045505,1564795802,61139,143370,148600
TSVC,InductionVariable-dbl,12081857112,17618891187,827715390,406431,0.05%,1943590481,5475860,0.28%,12718,1959834785,5751884,6813920959,1324442106,3189230056,532653372,699254333,10498586,757879292,747114,190135249,910416,331478,6483073434,1007510,3127448611,86479,205901,166225
TSVC,Recurrences-dbl,11605698352,10196028199,26256776,365530,1.39%,1371179661,4223166,0.31%,12598,1360014101,4708383,3703139602,482167288,1671319147,202889213,390051084,10870207,21920485,987596,7143804,648581,239655,3638231470,387506,1716339050,54699,189700,159979
TSVC,Packing-dbl,11286013524,30511095792,399952495,386659,0.10%,6842481377,5189883,0.08%,12716,6816674479,5599865,5374895641,1103435738,3398664202,410800154,564188056,10615962,407496241,1025347,89272780,123163,43248,5221732844,381908,3457514442,68921,207178,165299
TSVC,Recurrences-flt,11203506249,10151720554,9947613,379123,3.81%,1375466422,4293037,0.31%,12278,1365469357,4615787,3758298983,254171456,1697042582,104840994,195543830,10509285,9280470,927306,2919249,629103,199261,3629835508,390110,1696467041,54139,200479,163723
TSVC,StatementReordering-dbl,11156341688,19986159828,349907386,381413,0.11%,2024326775,4254979,0.21%,12587,2019023519,4232121,7382772245,1066685611,3969167923,489533650,839012311,11604603,528825106,697702,61653908,529325,251159,6842719285,730137,3932461693,65300,171823,150768
TSVC,IndirectAddressing-dbl,11030500328,19925946595,333655890,360490,0.11%,1813638160,5473472,0.30%,12579,1797367697,5542912,9353605803,1086607770,2069683319,252317219,686979902,11340037,431640605,693464,114567558,440766,255513,8736280181,1328061,2096544678,75240,186942,144454
TSVC,Expansion-dbl,10751792522,12709552956,910305832,531900,0.06%,1379179848,4537155,0.33%,12593,1439036021,4739563,4691515662,1191034061,2363096494,480388259,485383054,12249453,718302790,835418,162991910,792262,288734,4664757257,386050,2406981992,62162,216937,169405
TSVC,Searching-dbl,10686782129,18685083596,13912029,514554,3.70%,3684511923,4573555,0.12%,12566,3679066067,4775644,5407959964,657756966,80089847,4091542,610622313,10842419,13619161,739304,1321455,851295,233779,5164169268,575748,41373163,53230,224916,166092
TSVC,Searching-flt,10507429972,18796838919,5773798,472406,8.18%,3703633479,4603063,0.12%,12240,3630712644,5181325,5396090710,334334376,79809672,4485566,304132257,10238627,6705103,877136,1560284,596263,211504,5306569450,439459,37314430,53475,198072,164034
TSVC,Packing-flt,10713637970,30557734765,168800369,411268,0.24%,6893039202,4991650,0.07%,12300,6847594911,4750694,5429562132,667725202,3425723933,211427775,295523350,10772359,190684438,424881,10679638,882907,299174,5070769645,1076443,3487873834,58065,157168,177048
TSVC,Reductions-dbl,10714100347,9128580047,19669817,438242,2.23%,1090819950,6041878,0.55%,12590,1070490198,5060411,3122044637,416641739,413484503,45509151,379684323,11217418,17460024,525210,5423832,616028,242464,3304560961,1517238,277264683,115314,427611,361631
TSVC,LinearDependence-dbl,10542033850,18128288059,745556319,313580,0.04%,1840555889,10755902,0.58%,12868,1833325884,10649594,5591361841,1174016021,2905624476,477973152,346718308,10440993,628881610,711020,187546977,740800,357936,5142544657,1163436,2823857996,153478,419977,355111
TSVC,LoopRestructuring-flt,10304065405,5301414176,585771491,318414,0.05%,602591611,7106960,1.18%,12262,595108645,7396241,1377807441,1594768093,1148552829,726740893,54614616,10321783,336042791,813773,203794549,816705,257056,1598220671,382617,1221948202,60136,162516,147423
TSVC,ControlLoops-dbl,10213496402,10978705272,573321097,352647,0.06%,1002802620,4384718,0.44%,12655,930453672,4784241,4731414128,979240942,1511319550,323506928,486818346,10774192,532361863,768392,58414433,634787,254117,4575662664,411026,1528977542,54930,230463,171217
TSVC,Symbolics-dbl,9580310365,11616166387,921758731,311342,0.03%,1478091883,4410418,0.30%,12568,1473323492,4505830,4682458671,1343327262,2336655208,482276522,222954585,10361952,660672352,411166,246944933,558014,317629,4221380717,1415761,2257774715,57299,143627,148160
TSVC,CrossingThresholds-dbl,10113766567,14126758566,614031389,404022,0.07%,1199841425,5949884,0.50%,12577,1205209476,5949983,4621824699,994640906,2862472542,593221195,469996756,10708356,447320937,595064,216225053,927557,224175,4385216381,1171073,2848264340,106039,322533,205234
TSVC,GlobalDataFlow-dbl,10033266672,12531935260,830685945,577084,0.07%,1323218379,6985219,0.53%,12806,1324171387,6819107,4859094774,976653982,2232149072,400944924,383308845,13001113,750265067,1309453,62854949,194480,77066,4707367644,435063,2233017253,78181,191891,170895
TSVC,LoopRerolling-flt,9839668550,15128694357,162736240,420517,0.26%,535239086,4515838,0.84%,12249,530909565,4317027,6968090587,647640803,1010631879,194503876,372031975,10298262,127369558,526017,62813462,786230,349231,6433533813,952785,846933491,64072,162754,148325
TSVC,NodeSplitting-flt,9476401932,21225014295,117677305,409123,0.35%,1599356604,4434688,0.28%,12248,1584143093,4872756,5734939833,530392785,3024852376,222016781,414043490,10646599,84058248,853546,4793961,630882,261872,5834987921,474761,3163107098,52853,226116,165964
TSVC,ControlFlow-dbl,11666080522,24394634587,552814515,354978,0.06%,4752432858,4805009,0.10%,12596,4690764463,4974606,7255338151,1283832326,2512871254,402337140,841203896,10034801,697873930,784784,29850111,1020643,343128,6774905001,580397,2573392491,54597,199119,165362
TSVC,NodeSplitting-dbl,11687860149,23209790484,356067473,482508,0.14%,1790180036,5148253,0.29%,12565,1810542957,5356153,6646430422,1086971144,3249141558,426790487,842512825,13264426,503560501,860756,21511406,505634,174931,6404406389,725759,3427348153,98543,222073,195520
TSVC,IndirectAddressing-flt,8826229309,20185156280,44134934,371226,0.84%,2025879082,5520753,0.27%,12258,2004001898,5920844,9341226544,604515229,2061171888,127282185,406053236,10742580,42401865,866448,7676301,637497,326223,8753882548,562462,2146383634,54413,176785,160343
TSVC,InductionVariable-flt,8664580115,15953675950,202365675,370529,0.18%,1773909890,4616893,0.26%,12318,1803338838,4972776,5990028647,678947835,2825637655,274226189,345581749,10696924,170772075,813408,41443521,639325,244766,5611944055,570156,2837882579,54061,217589,171291
TSVC,ControlFlow-flt,8591312490,22315409223,174381378,254851,0.15%,3790653748,4779124,0.13%,12247,3789774860,4893712,5143848957,751279052,2438144318,242283765,455201256,11146108,159784037,723122,8903926,804045,285575,4878694650,575871,2568405625,62546,185236,150194
TSVC,ControlLoops-flt,8114435605,7960412411,123313970,404714,0.33%,768886393,4511462,0.59%,12287,771636817,4868588,3478023204,486427303,901012156,153405740,232585235,10288368,108992431,789386,8051626,816390,306811,3116246953,351874,963765990,62030,175323,142934
TSVC,StatementReordering-flt,8038921088,20221815281,42961200,444250,1.03%,2012606899,4498271,0.22%,12248,2013836808,5060831,7451977237,537518161,3970034636,239728174,407723264,10039362,41350280,713318,7714377,592894,230678,7132663370,504143,4070090062,51541,205483,158968
TSVC,CrossingThresholds-flt,7262910482,12076322839,247044452,264039,0.11%,1008706627,5604055,0.56%,12235,964324923,5630152,3539635596,648565736,2424520410,380766908,240092690,11337268,199099430,682419,38293433,663128,282309,3559501314,356032,2582097845,64044,189310,149640
TSVC,LinearDependence-flt,6998135377,16205312724,127482076,509042,0.40%,1665686127,9428680,0.57%,12409,1688883807,10138928,4858259441,681985227,2306878352,217893250,188678513,9768610,131148015,735641,25526049,758718,212217,4514120047,393962,2465191387,55655,184372,158478
TSVC,Expansion-flt,6503034165,10066474165,345143923,341908,0.10%,1162395531,5188447,0.45%,12262,1120321157,4934634,3457852229,697274257,1679280449,277336683,267343697,10908343,299330496,415872,46577660,784018,280975,3103599404,1673425,1666602855,150575,470273,356884
TSVC,Equivalencing-dbl,5548323291,5228353009,477487591,456517,0.10%,540088929,4306980,0.80%,12706,531864485,4391153,2589475016,640308941,1302989386,309472813,156607841,10261318,427684401,699719,53672046,784240,236157,2341489477,1140382,1291011119,55625,158312,150062
TSVC,GlobalDataFlow-flt,4516898478,6686221272,140847120,426967,0.30%,836934323,5241847,0.63%,12372,830778311,5207740,2449213063,555131635,1215863649,216251564,195914582,10705570,140302570,387176,21391887,692434,407606,2159635064,1229944,1225159782,103025,208574,150523
TSVC,Symbolics-flt,4396560915,8099534719,23864820,380922,1.60%,1053129483,4420080,0.42%,12245,1071201982,5032993,3036663958,671924972,1496299901,231489614,149143376,11076939,13216936,930297,3269336,185637,188694,3026458548,432465,1543931264,52146,227124,176085
TSVC,Equivalencing-flt,2301963798,3018625229,46947051,357898,0.76%,312667861,4473143,1.43%,12330,306699435,4874993,1520859652,351131036,708260650,161970368,52709786,9906264,39513157,683707,2701566,381693,257768,1220256282,560922,764164459,63504,196365,175209
VersaBench,8b10b,13121433997,18524759754,10420081,221274,2.12%,2145272353,277550893,12.94%,11840,2138547409,278590070,2187052006,66383998,1732172815,29565832,27216844,12880066,7051509,788659,1322184,623981,206996,2153420767,1240825,1702948199,119899,769112,432749
VersaBench,ecbdes,6762915567,12991908113,5026220,373765,7.44%,262535959,5669693,2.16%,11800,265834232,6145346,3087545527,11098302,310745016,3758005,1665385,10793969,4373058,595038,1073724,516426,311453,2802360585,1265449,313366243,84787,174170,161103
VersaBench,bmm,7298272185,10831547981,1099939461,375861,0.03%,1213408205,22147576,1.83%,15862,1206609306,21976363,2361167117,1149890340,97877910,21102796,4441067,11404066,1012994017,680391,1791252,750418,174616,2212380630,2852294,118788134,119257,191021,184585
VersaBench,dbms,3692638361,3671656432,51307939,800367,1.56%,859774298,23571401,2.74%,14308,838698799,23525568,1146786891,97467173,525554934,11337316,19692780,8743947,44704066,457650,1850230,419810,377519,1025092480,18414975,484923141,333450,387618,289270
VersaBench,beamformer,3110304600,7353303593,6221781,441972,7.10%,640403919,8378784,1.31%,12503,632298282,8431887,1461148145,16563071,237382295,8232216,2500610,11491782,4905384,723677,1404046,908910,352123,1200476185,798580,191621131,66804,323406,168897
