File,Size
csm_rand_39.c.out,6701
csm_rand_520.c.out,1980
csm_rand_835.c.out,8245
csm_rand_51.c.out,1886
csm_rand_801.c.out,12221
csm_rand_509.c.out,5261
csm_rand_218.c.out,10149
csm_rand_205.c.out,4397
csm_rand_743.c.out,12841
csm_rand_823.c.out,6693
csm_rand_414.c.out,6925
csm_rand_588.c.out,14625
csm_rand_20.c.out,1925
csm_rand_828.c.out,17833
csm_rand_922.c.out,8141
csm_rand_57.c.out,4125
csm_rand_312.c.out,17109
csm_rand_447.c.out,17437
csm_rand_435.c.out,10145
csm_rand_18.c.out,6101
csm_rand_11.c.out,6149
csm_rand_455.c.out,3697
csm_rand_405.c.out,17501
csm_rand_415.c.out,21450
csm_rand_849.c.out,4389
csm_rand_287.c.out,7293
csm_rand_569.c.out,1308
csm_rand_113.c.out,1975
csm_rand_750.c.out,33117
csm_rand_988.c.out,7600
csm_rand_394.c.out,9501
csm_rand_582.c.out,1993
csm_rand_130.c.out,8045
csm_rand_238.c.out,5381
csm_rand_544.c.out,28021
csm_rand_187.c.out,1834
csm_rand_269.c.out,10505
csm_rand_183.c.out,1887
csm_rand_824.c.out,1738
csm_rand_222.c.out,1850
csm_rand_961.c.out,7373
csm_rand_170.c.out,17533
csm_rand_550.c.out,1754
csm_rand_503.c.out,10281
csm_rand_483.c.out,12565
csm_rand_958.c.out,12453
csm_rand_72.c.out,12277
csm_rand_138.c.out,9365
csm_rand_470.c.out,12485
csm_rand_673.c.out,6045
csm_rand_343.c.out,4357
csm_rand_8.c.out,4949
csm_rand_722.c.out,15041
csm_rand_932.c.out,8981
csm_rand_827.c.out,31101
csm_rand_759.c.out,4685
csm_rand_705.c.out,1207
csm_rand_53.c.out,1962
csm_rand_46.c.out,9465
csm_rand_426.c.out,5637
csm_rand_12.c.out,18489
csm_rand_376.c.out,9845
csm_rand_481.c.out,11564
csm_rand_881.c.out,2589
csm_rand_168.c.out,4213
csm_rand_863.c.out,1183
csm_rand_639.c.out,7253
